Scene Number,Instruction Type,Instruction
1088.0,,Make the next right turn
1088.0,,Make a right turn
1088.0,s,Shortly after turning the corner take a right turn
1088.0,s,Take a right turn
1088.0,d,turn right at the connecting road near the man walking their dog
1089.0,s,Make a left turn and after continuing straight for a bit make another left turn
1089.0,,Make the next left turn
1089.0,,turn left at the end of the road and turn left again into the first connecting road
1089.0,s,Take a left turn and the take another left turn
1089.0,,Make a left turn
1091.0,,keep right 
1094.0,d,Make the left turn only when no pedestrians are in the way
1094.0,d,Make a left turn and follow the vehicle in front
1094.0,sd,Take a left turn and follow the gray car
1094.0,,turn left at the intersection
1095.0,sd,Shift the right lan and overtake the van and stop ot the red light
1095.0,s,Change one lane to the right
1097.0,d,Slowly move foward to turn right when it's safe to do so
1097.0,d,"When the stoplight turns green, prepare to make a right turn. Only proceed once all oncoming cars have passed"
1097.0,s,Go to the median and wait to take a right turn
1098.0,d,Slowly move foward to turn right when all oncoming traffic has passed
1101.0,d,Complete the right turn after all cars have passed
1101.0,ds,Make a right turn at the light when it's safe to do so
1101.0,s,Take a right turn
1101.0,,when there are no approaching cars turn right
1105.0,s,Shift to the opposing lane to avoid the car and then move back to the left lane
1105.0,s,Avoid the vehicle in front of you by switching to the right side of the road
1105.0,d,Move over one lane to the right to avoid and pass the vehicle reversing
1107.0,,Switch onto the right lane
1110.0,s,Make a right turn at the light and immediately change one lane to the right to be in the right most lane
1110.0,s,Go on the rightmost lane to make the right turn
1110.0,d,Make the right turn at the green light
1110.0,sd,Take the right turn and follow the black car and then shift to the right lane
1110.0,d,follow the blue prius while turning right and merge into the right turn only lane
